Intended College Major,Test Takers,Percent,Total,Mean Score ERW,Mean Score Math
"Agriculture, Agriculture Operations, and Related Sciences ","26,094",1%,968,492,476
Architecture and Related Services ,"31,629",2%,1042,518,524
"‘Area, Ethnic, Cultural, and Gender Studies ","2,929",0%,1037,534,503
Biological and Biomedical Sciences ,"158,487",9%,1134,570,564
"Business, Management, Marketing, and Related Support Services ","222,383",12%,1066,532,534
"Communication, Journalism, and Related Programs ","35,216",2%,1066,548,517
"Construction Trades, General ","2,674",0%,914,456,457
Education ,"70,539",4%,1021,519,503
Engineering ,"179,409",10%,1140,559,581
Engineering Technologies/Technicians ,"32,756",2%,1047,514,533
English Language and Literature/Letters ,"14,218",1%,1122,587,535
Family and Consumer Sciences/Human Sciences ,"5,969",0%,952,484,468
"Foreign Languages and Literatures, General ","9,196",1%,1095,562,533
Health Professions and Related Clinical Sciences ,"309,194",17%,1044,528,516
"History, General ","10,735",1%,1108,572,536
"Liberal Arts and Sciences, General Studies and Humanities ","7,487",0%,1153,589,564
Library Science/Librarianship ,247,0%,1137,596,544
Mechanic and Repair Technologies/Technicians ,"6,019",0%,924,460,461
Military Technologies ,"6,179",0%,986,498,488
Muttiinterdisciplinary Studies ,"2,941",0%,1166,586,580
Natural Resources and Conservation ,"9,897",1%,1121,571,550
"Parks, Recreation and Leisure Studies ","10,587",1%,964,485,479
"Personal And Culinary Services, General ","5,181",0%,938,478,460
Physical Sciences ,"24,569",1%,1206,598,608
"Psychology, General ","77,285",4%,1068,548,520
Public Administration and Social Service Professions 7.,751,0%,1007,516,491
Security and Protective Services ,"66,641",4%,973,495,478
Social Sciences ,"32,537",2%,1166,595,671
Theology and Religious Vocations ,"1,720",0%,1095,561,534
Undecided ,"163,353",9%,994,501,493
